iter	Passed	Remaining
0	138	138460
1	139	69478
2	140	46593
3	140	35078
4	141	28148
5	142	23527
6	142	20240
7	143	17775
8	143	15851
9	144	14315
10	145	13062
11	145	12014
12	146	11131
13	147	10413
14	148	9757
15	149	9174
16	149	8663
17	150	8208
18	151	7801
19	151	7435
20	152	7102
21	152	6800
22	153	6526
23	154	6274
24	155	6045
25	155	5831
26	156	5630
27	156	5445
28	157	5273
29	158	5113
30	158	4965
31	159	4824
32	160	4692
33	160	4574
34	161	4457
35	162	4348
36	163	4243
37	163	4144
38	164	4051
39	165	3962
40	165	3877
41	166	3793
42	166	3715
43	167	3644
44	168	3573
45	169	3506
46	169	3442
47	170	3379
48	171	3320
49	171	3262
50	172	3207
51	172	3153
52	173	3104
53	174	3053
54	174	3005
55	175	2958
56	176	2914
57	176	2872
58	177	2832
59	178	2792
60	178	2753
61	179	2715
62	180	2679
63	180	2643
64	181	2608
65	182	2577
66	182	2546
67	183	2516
68	184	2488
69	185	2458
70	185	2430
71	186	2402
72	187	2375
73	187	2348
74	188	2325
75	189	2306
76	190	2283
77	191	2259
78	191	2237
79	192	2214
80	193	2193
81	194	2173
82	194	2148
83	195	2128
84	195	2107
85	196	2087
86	197	2068
87	197	2049
88	198	2030
89	199	2013
90	199	1995
91	200	1978
92	201	1961
93	201	1945
94	202	1929
95	203	1913
96	203	1898
97	204	1882
98	205	1867
99	205	1852
100	206	1837
101	207	1823
102	207	1808
103	208	1793
104	208	1779
105	209	1765
106	209	1752
107	210	1739
108	211	1726
109	211	1713
110	212	1701
111	213	1689
112	213	1678
113	214	1666
114	215	1655
115	215	1644
116	216	1631
117	216	1621
118	217	1611
119	218	1600
120	218	1590
121	219	1579
122	220	1569
123	220	1560
124	221	1552
125	222	1542
126	222	1532
127	223	1523
128	224	1514
129	224	1505
130	225	1496
131	226	1487
132	226	1479
133	227	1470
134	228	1462
135	228	1454
136	229	1446
137	230	1438
138	231	1431
139	231	1423
140	232	1415
141	232	1406
142	233	1398
143	234	1391
144	234	1384
145	235	1378
146	236	1371
147	237	1364
148	237	1358
149	238	1350
150	239	1343
151	239	1336
152	240	1329
153	240	1322
154	241	1315
155	242	1309
156	243	1305
157	244	1300
158	244	1295
159	245	1289
160	246	1282
161	246	1275
162	247	1270
163	248	1264
164	248	1258
165	249	1253
166	250	1247
167	250	1242
168	251	1236
169	252	1231
170	252	1226
171	253	1220
172	254	1214
173	254	1209
174	255	1204
175	256	1199
176	256	1194
177	257	1188
178	258	1184
179	261	1189
180	261	1185
181	262	1180
182	263	1175
183	263	1170
184	264	1165
185	265	1161
186	265	1156
187	266	1151
188	267	1146
189	267	1142
190	268	1137
191	269	1133
192	269	1128
193	270	1124
194	271	1120
195	272	1116
196	273	1113
197	273	1108
198	274	1104
199	275	1100
200	275	1096
201	276	1092
202	277	1089
203	278	1086
204	279	1082
205	279	1078
206	280	1075
207	281	1071
208	282	1068
209	283	1064
210	283	1060
211	284	1058
212	285	1054
213	286	1050
214	286	1047
215	287	1043
216	288	1039
217	288	1035
218	289	1032
219	290	1029
220	291	1028
221	292	1025
222	293	1021
223	294	1018
224	294	1014
225	295	1011
226	295	1007
227	296	1004
228	297	1001
229	298	998
230	298	994
231	299	991
232	300	988
233	301	985
234	301	982
235	302	979
236	303	976
237	304	973
238	304	970
239	305	968
240	306	965
241	307	963
242	308	959
243	308	957
244	309	954
245	310	951
246	310	947
247	311	944
248	312	942
249	313	939
250	313	936
251	314	933
252	315	930
253	315	927
254	316	924
255	317	921
256	317	919
257	318	916
258	319	914
259	320	911
260	320	908
261	321	905
262	322	902
263	322	900
264	323	897
265	324	894
266	324	891
267	325	890
268	326	887
269	327	884
270	327	881
271	328	878
272	329	876
273	329	873
274	330	870
275	330	867
276	331	865
277	332	862
278	332	860
279	333	857
280	333	854
281	334	851
282	335	849
283	335	846
284	336	844
285	337	841
286	337	838
287	338	836
288	339	834
289	340	832
290	340	830
291	341	828
292	342	826
293	343	824
294	343	821
295	344	819
296	345	817
297	346	815
298	346	813
299	347	810
300	348	808
301	348	806
302	349	803
303	350	801
304	350	799
305	351	796
306	352	794
307	352	792
308	353	790
309	354	788
310	354	786
311	355	783
312	356	781
313	357	780
314	357	778
315	358	776
316	359	774
317	360	772
318	360	770
319	361	767
320	361	765
321	362	763
322	363	761
323	364	759
324	364	757
325	365	755
326	366	753
327	366	751
328	367	749
329	368	747
330	368	745
331	369	743
332	370	741
333	370	739
334	371	737
335	372	735
336	373	733
337	373	731
338	374	729
339	375	728
340	375	726
341	376	724
342	377	722
343	377	720
344	378	718
345	379	717
346	380	715
347	380	713
348	381	711
349	382	709
350	382	707
351	383	705
352	383	703
353	384	701
354	385	699
355	385	697
356	386	696
357	387	694
358	388	693
359	388	691
360	389	689
361	390	688
362	391	686
363	391	684
364	392	682
365	393	680
366	393	679
367	394	677
368	395	675
369	395	673
370	396	671
371	396	670
372	397	668
373	398	666
374	398	664
375	399	662
376	399	660
377	400	658
378	401	657
379	401	655
380	402	653
381	402	651
382	403	650
383	404	648
384	404	646
385	405	645
386	406	643
387	406	641
388	407	640
389	408	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	630
395	412	628
396	412	627
397	413	625
398	414	623
399	414	622
400	415	620
401	416	619
402	417	617
403	417	616
404	418	614
405	419	613
406	419	611
407	420	610
408	421	608
409	421	606
410	422	605
411	423	603
412	423	602
413	424	600
414	425	599
415	425	597
416	426	596
417	427	594
418	427	593
419	428	591
420	429	590
421	429	588
422	430	587
423	431	585
424	431	584
425	432	582
426	433	581
427	433	579
428	434	578
429	435	577
430	436	575
431	436	574
432	437	572
433	438	571
434	438	569
435	439	568
436	439	566
437	440	565
438	441	564
439	442	562
440	442	561
441	443	559
442	443	558
443	444	556
444	445	555
445	445	553
446	446	552
447	446	550
448	447	549
449	448	547
450	448	546
451	449	545
452	450	543
453	450	542
454	451	540
455	452	539
456	453	538
457	453	536
458	454	535
459	454	534
460	455	532
461	456	531
462	457	530
463	457	528
464	458	527
465	459	525
466	459	524
467	460	523
468	461	522
469	461	520
470	462	519
471	463	518
472	463	516
473	464	515
474	465	514
475	465	512
476	466	511
477	467	510
478	467	508
479	468	507
480	469	506
481	469	504
482	470	503
483	471	502
484	471	500
485	472	499
486	472	498
487	473	496
488	474	495
489	474	494
490	475	492
491	475	491
492	476	490
493	477	488
494	477	487
495	478	486
496	479	485
497	480	483
498	480	482
499	481	481
500	481	480
501	482	478
502	483	477
503	484	476
504	484	475
505	485	474
506	486	472
507	487	471
508	488	470
509	488	469
510	489	468
511	490	467
512	491	466
513	491	464
514	492	463
515	493	462
516	493	461
517	494	460
518	495	459
519	496	457
520	496	456
521	497	455
522	498	454
523	499	453
524	499	452
525	500	451
526	501	450
527	502	448
528	502	447
529	503	446
530	504	445
531	505	444
532	506	443
533	506	442
534	507	441
535	508	439
536	508	438
537	509	437
538	510	436
539	510	435
540	511	433
541	512	432
542	512	431
543	513	430
544	513	429
545	514	427
546	515	426
547	515	425
548	516	424
549	517	423
550	517	421
551	518	420
552	519	419
553	519	418
554	520	417
555	521	416
556	522	415
557	522	414
558	523	412
559	523	411
560	524	410
561	525	409
562	526	408
563	526	407
564	527	406
565	528	405
566	529	404
567	529	403
568	530	401
569	531	400
570	531	399
571	532	398
572	533	397
573	534	396
